,prefix,dim,type_sted,accuracy_balanced_sted,type_airyscan,accuracy_balanced_airyscan
0,raw,2,bc,0.9836726599682708,pi,0.8939393939393939
1,raw,3,all,0.9734928609201481,stat,0.9147727272727273
2,clip,2,all,0.9837387625594924,stat,0.9232954545454546
3,clip,3,ent,0.9837387625594922,bc,0.925189393939394
4,clip_minmax,2,ent,0.9857879428873613,stat,0.7945075757575758
5,clip_minmax,3,ent,0.98783712321523,ent,0.8484848484848485
6,clip_gaussian2a_minmax,2,all,0.9574299312533051,all,0.8191287878787878
7,clip_gaussian2a_minmax,3,all,0.9594130089899524,pi,0.8172348484848485
8,clip_gaussian2c_minmax,2,all,0.9838048651507141,ent,0.8172348484848485
9,clip_gaussian2c_minmax,3,all,0.9796404019037546,ent,0.8484848484848485
10,clip_gaussian4a_minmax,2,all,0.9531993654151243,ecc,0.8276515151515151
11,clip_gaussian4a_minmax,3,pi,0.9534637757800106,all,0.8399621212121212
12,clip_gaussian4c_minmax,2,pi,0.8921866737176096,ent,0.8295454545454546
13,clip_gaussian4c_minmax,3,pi,0.9327736647276573,ent,0.8314393939393939
14,clip_minmax_gaussian2a_minmax,2,stat,0.9817556848228451,all,0.7566287878787878
15,clip_minmax_gaussian2a_minmax,3,stat,0.9817556848228451,all,0.7755681818181818
16,clip_minmax_gaussian2c_minmax,2,all,0.9797726070861978,all,0.8503787878787878
17,clip_minmax_gaussian2c_minmax,3,all,0.9818217874140667,ecc,0.8712121212121212
18,clip_minmax_gaussian4a_minmax,2,stat,0.9797065044949762,all,0.8257575757575758
19,clip_minmax_gaussian4a_minmax,3,stat,0.9776573241671074,stat,0.8068181818181819
20,clip_minmax_gaussian4c_minmax,2,all,0.981623479640402,bc,0.8589015151515151
21,clip_minmax_gaussian4c_minmax,3,ent,0.9796404019037546,bc,0.8087121212121212
